Constituent,Julian_day,Depth,Elevation,Seg_52 ,Elevation,
Temperature,     1.000,     0.685,   665.062,      22.700,
Temperature,     1.000,     1.869,   663.877,      22.700,
Temperature,     1.000,     2.869,   662.877,      22.700,
Temperature,     1.000,     3.869,   661.877,      22.700,
Temperature,     1.000,     4.869,   660.877,      22.700,
Temperature,     1.000,     5.869,   659.877,      22.700,
Temperature,     1.000,     6.869,   658.877,      22.700,
Temperature,     1.000,     7.869,   657.877,      22.700,
Temperature,     1.000,     8.869,   656.877,      22.600,
Temperature,     1.000,     9.869,   655.877,      22.600,
Temperature,     1.000,    10.869,   654.877,      22.600,
Temperature,     1.000,    11.869,   653.877,      22.600,
Temperature,     1.000,    12.869,   652.877,      22.600,
Temperature,     1.000,    13.869,   651.877,      22.600,
Temperature,     1.000,    14.869,   650.877,      22.600,
Temperature,     1.000,    15.869,   649.877,      22.600,
Temperature,     1.000,    16.869,   648.877,      22.600,
Temperature,     1.000,    17.869,   647.877,      22.500,
Temperature,     1.000,    18.869,   646.877,      22.500,
Temperature,     1.000,    19.869,   645.877,      22.500,
Temperature,     1.000,    20.869,   644.877,      22.500,
Temperature,     1.000,    21.869,   643.877,      22.500,
Temperature,     1.000,    22.869,   642.877,      22.500,
Temperature,     1.000,    23.869,   641.877,      22.500,
Temperature,     1.000,    24.869,   640.877,      22.500,
Temperature,     1.000,    25.869,   639.877,      22.500,
Temperature,     1.000,    26.869,   638.877,      22.500,
Temperature,     1.000,    27.869,   637.877,      22.500,
Temperature,     1.000,    28.869,   636.877,      22.400,
Temperature,     1.000,    29.869,   635.877,      22.400,
Temperature,     1.000,    30.869,   634.877,      22.400,
Temperature,     1.000,    31.869,   633.877,      22.400,
Temperature,     1.000,    32.869,   632.877,      22.400,
Temperature,     1.000,    33.869,   631.877,      22.200,
Temperature,     1.000,    34.869,   630.877,      21.800,
Temperature,     1.000,    35.869,   629.877,      21.600,
Temperature,     1.000,    36.869,   628.877,      19.900,
Temperature,     1.000,    37.869,   627.877,      18.800,
Temperature,     1.000,    38.869,   626.877,      18.400,
Temperature,     1.000,    39.869,   625.877,      18.200,
Temperature,     1.000,    40.869,   624.877,      17.900,
Temperature,     1.000,    41.869,   623.877,      17.700,
Temperature,     1.000,    42.869,   622.877,      17.300,
Temperature,     1.000,    43.869,   621.877,      17.100,
Temperature,     1.000,    44.869,   620.877,      16.700,
Temperature,     1.000,    45.869,   619.877,      16.500,
Temperature,     1.000,    46.869,   618.877,      15.900,
Temperature,     1.000,    47.869,   617.877,      15.700,
Temperature,     1.000,    48.869,   616.877,      15.300,
Temperature,     1.000,    49.869,   615.877,      15.100,
Temperature,     1.000,    50.869,   614.877,      15.000,
Temperature,     1.000,    51.869,   613.877,      14.800,
Temperature,     1.000,    52.869,   612.877,      14.600,
Temperature,     1.000,    53.869,   611.877,      14.500,
Temperature,     1.000,    54.869,   610.877,      14.400,
Temperature,     1.000,    55.869,   609.877,      14.200,
Temperature,     1.000,    56.869,   608.877,      14.100,
Temperature,     1.000,    57.869,   607.877,      13.800,
Temperature,     1.000,    58.869,   606.877,      13.700,
Temperature,     1.000,    59.869,   605.877,      13.600,
Temperature,     1.000,    60.869,   604.877,      13.500,
Temperature,     1.000,    61.869,   603.877,      13.300,
Temperature,     1.000,    62.869,   602.877,      13.200,
Temperature,     1.000,    63.869,   601.877,      13.100,
Temperature,     1.000,    64.869,   600.877,      13.100,
Temperature,     1.000,    65.869,   599.877,      12.900,
Temperature,     1.000,    66.869,   598.877,      12.800,
Temperature,     1.000,    67.869,   597.877,      12.800,
Temperature,     1.000,    68.869,   596.877,      12.600,
Temperature,     1.000,    69.869,   595.877,      12.500,
Temperature,     1.000,    70.869,   594.877,      12.300,
